#Place a list of target domains or URLs below, one per line.
#https://chicagotribune.com
#http://latimes.com/sports
#washingtonpost.com
#http://nytimes.com/index.html
#Put this in your /etc/hosts file for local testing
#127.0.0.1    localhostgazette.com
#this doesn't resolve, should skip
https://www.sassymamasg.com/,sassymamasg
https://www.sanpedrosun.com/,sanpedrosun
https://www.samaa.tv/,samaa-tv
https://www.runtastic.com/blog,runtasticcom
https://www.rovigoindiretta.it,rovigo-in-diretta
https://www.ronaldo7.net/,ronaldo7
https://www.rivieraoggi.it/,rivieraoggi
https://www.revistaencontro.com.br,www-revistaencontro-com-br
https://www.radiomars.ma,radiomarstv
https://www.rachaelraymag.com,teamrachael
https://www.pzdeals.com/,pzdeals
https://www.pythonforbeginners.com/,pythonbeginners
https://www.psicoactiva.com,psicoactiva
https://www.prensa.com/,laprensapanama
https://www.pregnancyvideo.net,pregnancyvideos
https://www.povonews.com,povonews
https://www.pogomap.info,pokemonmap
https://www.pocketgamer.com,pocketgamer
https://www.pocket-lint.com,pocketlint
https://www.plataformaarquitectura.cl,parq
https://www.phoneworld.com.pk/,phoneworldpk
https://www.phonandroid.com,phonandroid
https://www.petful.com/,petful
https://www.papergeek.fr,papergeekfr
https://www.pajiba.com/,jiba
https://www.otomaniac.com,otomaniacnew
https://www.organized-home.com,organized-home
https://www.orderofbooks.com,orderofbooks
https://www.opptrends.com,opptrends1
https://www.opindia.com,opindia
https://www.oneangrygamer.net/,oneangrygamerhd
https://www.okaz.com.sa/,okaz-1
https://www.noticel.com/,noticel
https://www.newvision.co.ug,nvdiscuss
https://www.newsonlineincome.com/,newsonlineincome
https://www.newsmax.com/,nmax
https://www.newcastleherald.com.au/,theherald-com-au
https://www.net-iris.fr/,netiris
https://www.natursan.net,natursan
https://www.nation.co.ke/,dailynation
https://www.naEKRANIE.pl,naekraniepl
https://www.mynorth.com,mynorth
https://www.mulheresbemresolvidas.com.br,mulheresbemresolvidas
https://www.mtggoldfish.com/,mtggoldfish
https://www.movilcelular.es,movilcelular
https://www.movie-censorship.com/,mccom2013
https://www.motorsport-magazin.com/,motorsportmagazin
https://www.moneytalksnews.com,moneytalksnews
https://www.moneycrashers.com,moneycrashers
https://www.moillusions.com,moillusions
https://www.modxapk.com,modxapkcom
https://www.mobiFlip.de/,mobiflipde
https://www.minecraftxl.com/,minecraftxl
https://www.mibrujula.com/,mibrujula
https://www.meups4.com.br,meups4
https://www.metropoles.com,metropoles
https://www.melhoresdestinos.com.br,melhoresdestinos
https://www.megacurioso.com.br,megacurioso
https://www.marathimati.com,marathimati
https://www.managertoday.com.tw,managertoday8888
https://www.maltatoday.com.mt/,malta-today
https://www.maiscelular.com.br,maiscelular
https://www.machomoda.com.br,machomoda
https://www.lowkickmma.com,lowkickmma
https://www.lifesitenews.com,lifesitenews
https://www.lavozdehorus.com,lavozdehorus
https://www.latribuna.hn,diariolatribunahn
https://www.larazon.es,larazn
https://www.kosip.org/,https-www-kosip-org
https://www.kibin.com/blog,kibin
https://www.k-pop.ru/,k-pop-ru
https://www.justfreestuff.com,justfreestuff
https://www.journalistenwatch.com,jouwatch
https://www.joshuakennon.com,joshuakennon
https://www.jornaldacidadeonline.com.br,jornal-da-cidade-online
https://www.jetmag.com,jetmag
https://www.jariangibson.com,jariangibson
https://www.iwanbanaran.com,iwanbanaran
https://www.isansar.com,isansarvideo
https://www.isaechia.it,www-isaechia-it
https://www.instalki.pl/,instalkipl
https://www.insideweddings.com,inside-weddings
https://www.insidethehall.com/,insidethehall
https://www.insidehighered.com,insidehighered
https://www.inside-handy.de,insidehandy
https://www.inglesnapontadalingua.com.br/,inpl
https://www.infocampo.com.ar,infocampocom
https://www.indiadesire.com,indiadesire
https://www.indezine.com/,indezine
https://www.imangoss.net,imangoss
https://www.ilveggente.it/,ilveggente
https://www.ilnapolista.it,napolista
https://www.ilivehere.co.uk/,ukilivehere
https://www.igeeksblog.com/,igeeksblogs
https://www.idropnews.com,idropnews
https://www.honeycolony.com,honeycolony
https://www.hodinkee.com,hodinkee
https://www.hkgbusiness.com,hkgbusiness
https://www.historyandheadlines.com/,crackedhistory
https://www.historicmysteries.com,historicmysteries
https://www.hiamag.com,hiamag2
https://www.hesaplama.net/,hesaplama
https://www.healthambition.com,healthambition
https://www.hant.se,hant
https://www.guitarworld.com,therealguitarworld
https://www.gruenderszene.de/,gruenderszene
https://www.greenmedinfo.com,greenmedinfo
https://www.grandviewoutdoors.com/,gvout
https://www.gizmochina.com/,gizmochina
https://www.geektopia.es/,geektopia
https://www.gds.ro,gazeta-de-sud
https://www.gardenbetty.com,gardenbetty
https://www.gamezebo.com/,gamezebo-2
https://www.gamekings.tv,gamekings
https://www.gadget.ro,gadgetro
https://www.futuregamereleases.com,futuregamereleases
https://www.futurederm.com,futurederm
https://www.futbolsapiens.com/,futbol-sapiens
https://www.fudzilla.com/,fudzilla
https://www.freemmostation.com/,freemmostation
https://www.frandroid.com,frandroid
https://www.forbes.com.mx/,forbesmx
https://www.foititikanea.gr/,foititikaneagr
https://www.flickeringmyth.com,flickeringmyth
https://www.flatout.com.br,flatoutbrasil
https://www.firstshowing.net,firstshowing
https://www.finanzen.ch/,finanzench
https://www.filme-seriale-online.com/,filmeseriale-online
https://www.file-extensions.org/,fileextensionsorg
https://www.exposureguide.com,exposureguide
https://www.ewrestlingnews.com,ewrestlingnews
https://www.everythingusb.com/,everythingusb
https://www.enter.co,enterco
https://www.empireboobookitty.com,empirefox
https://www.emaratalyoum.com/,emaratalyoum
https://www.elkhadra.com,elkhadraar
https://www.edivaldobrito.com.br,edivaldo
https://www.dualshockers.com,dshockers
https://www.droid-life.com/,droidlife
https://www.drive.gr/,drivegr
https://www.dragonblogger.com,dragonblogger
https://www.dinarrecaps.com/,dinarrecaps
https://www.destructoid.com,destructoid
https://www.deschide.md,deschidemd
https://www.deperu.com,deperucom
https://www.depedlps.club,https-www-depedlps-club
https://www.db.lv,dienasbizness
https://www.datviet.com,datvietcom
https://www.dakwatuna.com,dakwatunacom
https://www.cultofmac.com/,cultofmac
https://www.courrierinternational.com,courrierinternational
https://www.correiobraziliense.com.br/euestudante/,euestudante
https://www.conservativewoman.co.uk/,theconservativewoman
https://www.colconectada.com/,colconectada
